"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"2049855038189916387","2026-04-30T14:15:00.000Z","2","Komitmen Teruskan MBG, Prabowo Bertanya: Apa Salahnya Presiden Gelontorkan Uang ke Rakyat?
https://t.co/Lid1K80UsJ","2049855038189916387","","","in","","0","2","2","https://x.com/democrazymedia/status/2049855038189916387","1243804423001763841","democrazymedia"
"2049515458261586267","2026-04-30T11:14:17.000Z","3","@Naprincessholic syulid menjelaskan jokes mbg ini tapi LUCU wkwkkwkw","2049809558936449232","","Naprincessholic","in","","0","0","0","https://x.com/haczelnutze/status/2049809558936449232","833838245985320963","haczelnutze"
"2049709858002514260","2026-04-30T04:38:06.000Z","259","Kontraproduktif dengan tujuan MBG.","2049709858002514260","","","in","","0","3","83","https://x.com/thumbprintco/status/2049709858002514260","1399086277014654977","thumbprintco"
"2049817402783957102","2026-04-30T11:45:27.000Z","0","Yang ngamuk para penipu uang pajak itu , pengusaha UMKM yg penghasilan bersihnya puluha juta sebulan dan ga pernah bayar pajak tiba2 dikirim surat sama DJP, akhirnya playvictim mental miskinnya keluar ,

Gw kritik MBG tpi kalo soal bgni gw dukung DJP, biar tau rasa kalian","2049817402783957102","","","in","","0","0","0","https://x.com/mino1054454/status/2049817402783957102","2037835415084797952","mino1054454"
"2049672058230169698","2026-04-30T02:21:38.000Z","15","@Yoechan_ @DolfieOtay @baronko_cole @b3l4h4nh4t1ku_ @TukuQ_86300 @A5l1n9_4la_m_ @ArdieSuhardi321 @OktermanLkmn @se_raden997370 @PahetKopi28207 @FreeStranger13 @secr3thm4nz56 @4nw4r__84 @C1ntaT4nahA1r3_ @Anto1157 @perangutan23 @Udinsam_dua @Darmara02177184 @sampalle @bale_imut @Al355555 @NunutUswatun @Sumanto59653397 @RENIEKA2012 @Amans4 @Enggang_Kaltim @dankelha @KiYang4343 @toniwahyudi21 @NawawiAlMaroni @RusdiridwanS @abah_mumtaz @snazbelle @W1lL_AngelRoses @SR21881 @NegeriKorup4545 @SuwandaBen @dewimajid4 @syeifm @FR33D0ML4ND #JokowiBiangRusuh 
#JokowiBiangRusuh 

@omo_sugema6
@Im00568047
@JaeKodok
@M4kzulkanR3z1m_
@Syam42933824
@ArtonArton6
@SangSenja001
@AnakBawang199
@AkhmadDimyati13
@Sojoy58024020

7. Dana desa distop dgn alasan kades korupsi. Rupanya ada rencana korupsi atas nama Kopdes dan MBG https://t.co/YQBrLHQ9wx","2049675513384607940","https://pbs.twimg.com/ext_tw_video_thumb/2049675500973649920/pu/img/xb1ivXbzoAvgNISM.jpg","BelengBeleng687","in","","0","1","12","https://x.com/BelengBeleng687/status/2049675513384607940","1629061896816177152","BelengBeleng687"
"2049877682503258422","2026-04-30T15:44:59.000Z","2","Sadly he’s just being soft and that’s already making us feel loved. WHEN IT’S JUST A BARE MINIMUM😔 Ya Allah seharusnya mbg diganti program satu rumah satu Sadewa Sagara","2049877682503258422","","","en","","0","1","3","https://x.com/tsuinkaze/status/2049877682503258422","1575692658005409792","tsuinkaze"
"2049805225826144517","2026-04-30T10:57:04.000Z","47","Kenapa Pink ijo selalu mbolot ya? keluar konteks dan ga nyambung, semestinya jgn protes klo ada Program MBG karena kalian itu memang sangat kekurangan Gizi","2049805225826144517","","","in","","1","4","10","https://x.com/polisiolahraga/status/2049805225826144517","2459065278","polisiolahraga"
"2049852058216591706","2026-04-30T14:03:09.000Z","1","tutup semua dapur mbg biarkan para bocil ini memasak 🍳👨‍🍳","2049852058216591706","","","in","","0","0","0","https://x.com/sacrecd/status/2049852058216591706","1585312261953888258","sacrecd"
"2049800320214270118","2026-04-30T12:57:03.000Z","2","@ferizandra Keracunan MBG terus berlanjut, Kepala BGN ngga ambil pusing, gass teross mau buka SPPG baru.

Peralatan dan Perlengkapan Kerja SPPG dibagus²in tapi Mutu Menu MBG tetap MENGKHAWATIRKAN dan MENAKUTKAN bagi para Siswa dan Orangtua.","2049835421836955657","","ferizandra","in","","0","1","1","https://x.com/Dogelkarya76_82/status/2049835421836955657","1689127825440493568","Dogelkarya76_82"
"2049845534597464071","2026-04-30T13:37:14.000Z","1","Pasangan yang udah menikah bisa beda pandangan politik ya ternyata","2049845534597464071","","","in","","0","0","0","https://x.com/ykvksn/status/2049845534597464071","1089536314028879872","ykvksn"
"2049658297284960723","2026-04-30T01:13:13.000Z","32","Pak, MBG-nya enak… kami jadi jarang jajan.”

Kadang dampak kebijakan itu gak perlu teori panjang.
Cukup lihat anak-anak mulai kenyang &amp; gak perlu jajan sembarangan.

Yang ribut di timeline…
yg merasakan di lapangan. https://t.co/FHI49bjriY","2049658297284960723","https://pbs.twimg.com/amplify_video_thumb/2049658229370900481/img/yZgIqujX9MLWTL2a.jpg","","in","","0","6","8","https://x.com/kangdede78/status/2049658297284960723","235931838","kangdede78"
"2049707856480674245","2026-04-30T06:18:07.000Z","13","@txtdrimedia Wkwk kemarin tetangga ku bikin status kalo tiap dapat MBG ga pernah dimakan sama anaknya, trus tadi pas lewat rumahnya dia bilang ""nanti keracunan, ati²"", btw dia orang yg suka² aja sama MBG bukan yg nentang, trus tetangga lain ada yg share menu ini, ini gimana cara makannya? https://t.co/oV9N8fTQvK","2049735026934448539","https://pbs.twimg.com/media/HHIfJR7aEAAchpl.jpg","txtdrimedia","in","","0","3","0","https://x.com/larassdwiw/status/2049735026934448539","1570718303974494212","larassdwiw"
"2049717385016267062","2026-04-30T11:15:52.000Z","0","@txtdrimedia Kabarnya dan desas desusnya kampus gw punya dapur MBG, ini baru kabar burung tapi minggu lalu sempat terjadi sindir menyindir di grup besar keluarga kampus, meskipun kabarnya pemilik dapur ini per seorangan tapi atas namanya atas nama kampus. Sedangkan, kampus gw ini punya","2049809959400169566","","txtdrimedia","in","","0","0","0","https://x.com/gojoeu/status/2049809959400169566","4140497712","gojoeu"
"2049730474059428053","2026-04-30T15:23:09.000Z","4","@dodisegrovee @tempodotco biasalah, efek presiden dipimpin lansia jadi inkompeten, saya juga masih nunggu emosi rakyat meledak yang akhirnya muncul demo, padahal MBG dilihat dari segi manapun jelas korupsi besar besaran sedang terjadi","2049872189810483584","","dodisegrovee","in","","1","0","0","https://x.com/mhieayham/status/2049872189810483584","1913851262803881984","mhieayham"
"2049890066445861049","2026-04-30T16:34:11.000Z","1","Yaa GK tau sebegitu susahnya cari kerjaan,,kita GK tau nth dari sana mungkin mata pencaharian sangkin terbantunya dengan program ini setelah peraturan ini muncul macam di banting hati rasanya🥲
#mbg
#MakanBergisiGratis","2049890066445861049","","","in","","0","0","1","https://x.com/ojikkk22/status/2049890066445861049","1114719058274832385","ojikkk22"
